study_status,carstensen_name,jetz_name,operational_name,family,habitat,role,guild,module,module_area_Banda_Sea,module_area_Lesser_Sundas,module_area_Maluku,module_area_Sulawesi,island_area_Adonara,island_area_Alor,island_area_Ambelau,island_area_Ambon,island_area_Autauro,island_area_Bacan,island_area_Banda_islands,island_area_Banggai_islands,island_area_Barbar,island_area_Bisa,island_area_Boano,island_area_Bonerate,island_area_Buru,island_area_Butung_or_Buton,island_area_Damar_islands,island_area_Flores,island_area_Gomumu_island,island_area_Gorong_islands,island_area_Halmahera,island_area_Haruku,island_area_Kabaena,island_area_Kai_Islands,island_area_Kalaotoa_islands,island_area_Kasiruta,island_area_Kayoa,island_area_Kisar,island_area_Kofiau,island_area_Komodo,island_area_Lembeh,island_area_Leti_islands,island_area_Loloda_islands,island_area_Lomblen,island_area_Lombok,island_area_Lucipara_islands,island_area_Madu,island_area_Makian,island_area_Manadotua,island_area_Manipa,island_area_Manuk_island,island_area_Mare,island_area_Mayu_island,island_area_Miangas,island_area_Moa,island_area_Morotai,island_area_Moti,island_area_Muna,island_area_Muor,island_area_Nila,island_area_Nusa_Laut,island_area_Obi_islands,island_area_Padar,island_area_Palue_island,island_area_Pantar,island_area_Rau_island,island_area_Rinca,island_area_Romang_islands,island_area_Roti,island_area_Sangeang,island_area_Sangihe_Islands,island_area_Saparua,island_area_Satonda,island_area_Sawu,island_area_Selayar,island_area_Semau,island_area_Seram,island_area_Sermata_islands,island_area_Siau,island_area_Solor,island_area_Sula_islands,island_area_Sulawesi,island_area_Sumba,island_area_Sumbawa,island_area_Tobea_island,island_area_Togian_islands,island_area_Tukangbesi_islands,island_area_Talaud_islands,island_area_Taliabu_westernPartOf_Sula_Islands,island_area_Talisei_island,island_area_Tanahjampea,island_area_Tanimbar_Islands,island_area_Tayandu_islands,island_area_Ternate,island_area_Teun,island_area_Tidore,island_area_Tifore,island_area_Timor_island_whole,island_area_Tioor_or_Tiur,island_area_Watubela_Islands,island_area_Wetar,island_area_Widi_islands,node,links,r,l
non-informative habitat category,Lalage nigra,Lalage nigra,Lalage.nigra,Campephagidae,6,Peripheral,Insectivores,5,0,0,0,1,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,1,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,489,1,0,-0.8508004278
included,Lalage leucopygialis,Lalage leucopygialis,Lalage.leucopygialis,Campephagidae,5,Module hub,Insectivores,5,0,0,0,1,0,0,0,0,0,0,0,1,0,0,0,0,0,1,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,1,1,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,490,4,0,0.1085708203
non-informative habitat category,Lalage sueurii,Lalage sueurii,Lalage.sueurii,Campephagidae,6,Module hub,Insectivores,1,1,1,1,1,0,1,0,0,0,0,0,0,1,0,0,1,0,1,1,1,0,0,0,0,0,0,1,0,0,1,0,0,0,1,0,1,1,0,1,0,0,0,0,0,0,0,0,1,0,0,0,0,0,0,0,1,0,0,0,1,1,1,0,0,0,1,1,1,0,0,0,0,0,1,1,1,0,0,1,0,0,0,1,0,0,0,0,0,0,1,0,0,1,0,491,27,0.587106,1.8992639803
included,Lalage aurea,Lalage aurea,Lalage.aurea,Campephagidae,5,Module hub,Insectivores,4,0,0,1,1,0,0,0,0,0,1,0,0,0,1,0,0,0,0,0,0,0,0,1,0,0,0,0,1,1,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,1,0,0,0,0,0,1,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,1,0,0,0,0,0,0,0,0,492,8,0,0.5825244651
included,Lalage atrovirens,Lalage atrovirens,Lalage.atrovirens,Campephagidae,5,Peripheral,Insectivores,2,1,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,1,0,0,0,0,0,0,0,0,0,0,493,1,0,-0.9088053673
included,Lalage leucomela,Lalage leucomela,Lalage.leucomela,Campephagidae,2,Peripheral,Insectivores,2,1,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,1,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,494,1,0,-0.9088053673
no habitat information,Lalage moesta,Lalage moesta,Lalage.moesta,Campephagidae,,Peripheral,Insectivores,2,1,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,1,0,0,0,0,0,0,0,0,0,0,495,1,0,-0.9088053673
included,Pericrocotus divaricatus,Pericrocotus divaricatus,Pericrocotus.divaricatus,Campephagidae,5,Peripheral,Insectivores,5,0,0,0,1,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,1,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,496,1,0,-0.8508004278
non-informative habitat category,Pericrocotus lansbergei,Pericrocotus lansbergei,Pericrocotus.lansbergei,Campephagidae,6,Peripheral,Insectivores,1,0,1,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,1,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,1,1,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,499,3,0,-0.4918856823
included,Pericrocotus flammeus,Pericrocotus flammeus,Pericrocotus.flammeus,Campephagidae,1,Peripheral,Insectivores,1,0,1,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,1,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,500,1,0,-0.9266401665
included,Hylocitrea bonensis,Hylocitrea bonensis,Hylocitrea.bonensis,Pachysephalidae,1,Peripheral,Insectivores,5,0,0,0,1,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,1,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,502,1,0,-0.8508004278
included,Coracornis raveni,Coracornis raveni,Coracornis.raveni,Pachysephalidae,1,Peripheral,Insectivores,5,0,0,0,1,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,1,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,503,1,0,-0.8508004278
name mapping failure,Pachycephala cinerea,NA,Pachycephala.cinerea,Pachysephalidae,2,Peripheral,Insectivores,1,0,1,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,1,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,504,1,0,-0.9266401665
included,Pachycephala phaionota,Pachycephala phaionota,Pachycephala.phaionota,Pachysephalidae,3,Module hub,Insectivores,4,1,0,1,0,0,0,0,0,0,0,1,0,0,0,0,0,0,0,1,0,0,1,0,0,0,1,0,0,0,0,1,0,0,0,0,0,0,0,0,0,0,0,0,1,1,0,0,0,1,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,1,0,0,0,0,0,0,0,0,0,0,0,0,0,0,1,1,1,0,1,0,0,0,1,0,0,505,14,0.489796,0.5825244651
included,Pachycephala sulfuriventer,Pachycephala sulfuriventer,Pachycephala.sulfuriventer,Pachysephalidae,2,Peripheral,Insectivores,5,0,0,0,1,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,1,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,506,1,0,-0.8508004278
